World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Patents	Score
37	University of California, Santa Barbara	USA	25	101+	101+	28	89	91	38	101+	51.67
38	Purdue University, West Lafayette	USA	26	95	39	52	71	101+	65	36	51.59
39	University of Southern California	USA	27	101+	99	56	56	52	36	40	51.56
40	Seoul National University	South Korea	1	101+	13	101+	48	101+	76	4	51.31
41	University of Colorado Boulder	USA	28	82	84	38	75	68	54	101+	51.16
42	University of Utah	USA	29	101+	101+	42	93	61	85	27	51.14
43	Rutgers University-New Brunswick	USA	30	101+	101+	48	43	58	45	96	51.09
44	University of Minnesota, Twin Cities	USA	31	101+	101+	87	18	31	16	67	50.98
45	University of Edinburgh	United Kingdom	5	47	101+	45	52	36	63	101+	50.98
46	University of Texas Southwestern Medical Center	USA	32	46	101+	29	101+	28	82	101+	50.79
47	McGill University	Canada	2	54	62	59	34	42	48	101+	50.77
48	Pierre-and-Marie-Curie University	France	2	19	101+	84	31	50	78	81	50.58
49	Rockefeller University	USA	33	55	101+	17	101+	34	101+	101+	50.43
50	Pennsylvania State University, University Park	USA	34	101+	72	101+	29	54	23	67	49.84
51	Carnegie Mellon University	USA	35	30	101+	27	101+	101+	74	101+	49.56
52	Ohio State University, Columbus	USA	36	101+	101+	86	32	55	35	60	49.41
53	University of California, Davis	USA	37	60	101+	94	26	47	31	90	49.16
54	Boston University	USA	38	101+	69	88	54	37	41	100	48.96
55	University of Florida	USA	39	101+	101+	98	35	92	42	9	48.93
56	University of Geneva	Switzerland	2	52	101+	30	101+	78	101+	101+	48.83
57	Tel Aviv University	Israel	3	84	101+	54	83	101+	101+	32	48.72
58	University of British Columbia	Canada	3	101+	101+	95	25	39	39	100	48.51
59	University of Maryland, College Park	USA	40	79	101+	53	49	77	40	101+	48.39
60	Karolinska Institute	Sweden	1	101+	101+	47	64	38	62	101+	47.98
61	Vanderbilt University	USA	41	101+	101+	101+	53	40	60	40	47.80
62	Sapienza University of Rome	Italy	1	101+	101+	31	76	101+	101+	101+	47.75
63	Washington University in St. Louis	USA	42	101+	101+	101+	36	20	32	101+	47.72
64	École normale supérieure - Paris	France	3	8	101+	57	101+	101+	101+	101+	47.70
65	University of California, Irvine	USA	43	101+	101+	39	69	67	61	101+	47.52
66	Technion – Israel Institute of Technology	Israel	4	50	101+	36	101+	101+	101+	73	47.45
67	Ludwig Maximilian University of Munich	Germany	1	62	101+	92	67	49	67	101+	47.25
68	University of Copenhagen	Denmark	1	101+	101+	63	42	43	51	101+	47.12
69	University of Pittsburgh - Pittsburgh Campus	USA	44	80	101+	101+	24	33	28	44	47.08
70	Keio University	Japan	4	101+	6	101+	101+	101+	101+	73	47.05
71	University of Virginia	USA	45	101+	24	101+	88	73	68	63	46.92
72	University of Manchester	United Kingdom	6	101+	101+	76	47	63	57	101+	46.85
73	Arizona State University	USA	46	101+	101+	73	101+	101+	89	20	46.72
74	University of Zurich	Switzerland	3	101+	101+	82	59	48	52	101+	46.54
75	King's College London	United Kingdom	7	41	101+	101+	45	45	44	101+	46.53
76	University of Rochester	USA	47	63	80	101+	101+	86	66	51	46.44
77	Brown University	USA	48	59	52	67	101+	89	96	101+	46.43
78	University of Arizona	USA	49	101+	101+	90	60	57	49	101+	46.39
79	Ruprecht Karl University of Heidelberg	Germany	2	73	101+	55	82	59	100	101+	46.24
80	Texas A&M University, College Station	USA	50	101+	101+	50	72	101+	88	101+	46.17
81	University of Oslo	Norway	1	101+	101+	40	101+	101+	101+	101+	46.10
82	Dartmouth College	USA	51	45	20	101+	101+	101+	101+	78	46.04
83	Swiss Federal Institute of Technology in Lausanne	Switzerland	4	101+	101+	85	101+	101+	83	54	45.73
84	Utrecht University	Netherlands	1	101+	101+	101+	39	44	47	101+	45.73
85	Indiana University - Bloomington	USA	52	101+	48	101+	50	72	59	101+	45.71
86	École Polytechnique	France	4	101+	4	101+	101+	101+	101+	101+	45.38
87	National University of Singapore	Singapore	1	101+	101+	101+	44	101+	50	27	45.20
88	University of Texas MD Anderson Cancer Center	USA	53	101+	101+	101+	90	32	56	101+	45.12
89	Stony Brook University	USA	54	101+	101+	68	101+	101+	98	90	45.01
90	Lomonosov Moscow State University	Russia	1	14	101+	51	101+	101+	101+	101+	44.93
91	Nagoya University	Japan	5	72	101+	71	101+	101+	101+	58	44.78
92	University of Sydney	Australia	1	101+	101+	101+	61	101+	101+	48	44.77
93	Emory University	USA	55	101+	101+	101+	66	41	53	81	44.53
94	Rice University	USA	56	51	101+	97	101+	101+	64	81	44.53
95	Tohoku University	Japan	6	43	101+	101+	65	101+	91	26	44.52
96	Australian National University	Australia	2	101+	101+	43	101+	101+	101+	101+	44.50
97	University of Alberta	Canada	4	101+	101+	101+	68	101+	92	81	44.50
98	University of Helsinki	Finland	1	69	101+	81	74	79	71	101+	44.39
99	Paris Diderot University - Paris 7	France	5	28	101+	72	101+	87	101+	101+	44.36
100	Georgia Institute of Technology	USA	57	101+	85	101+	97	101+	43	32	44.26

