World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Patents	Score
1	Harvard University	USA	1	1	1	1	1	1	1	7	100.00
2	Stanford University	USA	2	11	2	4	6	2	2	11	93.94
3	University of Oxford	United Kingdom	1	7	12	10	11	7	13	15	92.54
4	Massachusetts Institute of Technology	USA	3	2	16	2	16	3	3	1	91.45
5	University of Cambridge	United Kingdom	2	3	15	5	9	11	10	39	90.24
6	Columbia University	USA	4	13	8	9	13	9	11	10	88.21
7	University of California, Berkeley	USA	5	6	28	6	8	6	4	19	85.07
8	Princeton University	USA	6	4	14	3	58	35	27	101+	82.17
9	University of Chicago	USA	7	9	19	8	37	21	30	101+	79.16
10	Yale University	USA	8	10	25	13	20	12	22	42	78.83
11	California Institute of Technology	USA	9	5	101+	7	38	24	25	17	77.59
12	University of Pennsylvania	USA	10	22	5	25	10	10	9	14	77.24
13	Cornell University	USA	11	12	23	18	21	19	15	7	76.99
14	University of Tokyo	Japan	1	17	3	32	14	23	29	5	76.23
15	Kyoto University	Japan	2	32	17	14	28	46	58	13	69.46
16	University of California, Los Angeles	USA	12	38	35	12	5	15	6	12	67.84
17	Johns Hopkins University	USA	13	23	96	21	4	5	7	2	65.64
18	Swiss Federal Institute of Technology in Zurich	Switzerland	1	16	60	11	40	53	55	60	64.99
19	New York University	USA	14	37	31	16	41	25	33	51	63.99
20	University of California, San Diego	USA	15	33	101+	19	15	14	14	22	63.12
21	Hebrew University of Jerusalem	Israel	1	15	101+	15	101+	96	101+	24	59.98
22	University of California, San Francisco	USA	16	101+	101+	22	23	4	18	63	59.38
23	University of Wisconsin–Madison	USA	17	31	55	33	19	29	20	30	58.94
24	University of Illinois at Urbana–Champaign	USA	18	65	101+	20	33	66	34	67	58.33
25	Duke University	USA	19	89	42	46	22	17	17	24	57.72
26	University of Texas at Austin	USA	20	101+	56	24	46	84	37	20	57.71
27	Imperial College London	United Kingdom	3	101+	92	35	17	22	19	48	56.75
28	Northwestern University	USA	21	101+	21	101+	27	26	24	30	56.12
29	University of Toronto	Canada	1	91	81	34	2	13	12	101+	56.11
30	University College London	United Kingdom	4	24	101+	49	12	16	21	73	56.00
31	University of Washington - Seattle	USA	22	101+	101+	41	7	8	5	51	55.79
32	University of Michigan, Ann Arbor	USA	23	35	27	101+	3	18	8	6	55.77
33	Weizmann Institute of Science	Israel	2	18	101+	23	101+	85	101+	48	54.34
34	University of North Carolina at Chapel Hill	USA	24	101+	101+	60	30	27	26	42	52.87
35	Osaka University	Japan	3	77	91	44	55	56	72	17	52.79
36	University of Paris-Sud	France	1	26	101+	26	73	101+	101+	101+	51.72
