World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Broad Impact	Patents	Score
256	Florida State University	USA	98	239	307	235+	209	189	160	225	378	46.67
257	University of Dundee	United Kingdom	22	179	594+	235+	364	202	200	187	230	46.67
258	Wageningen University and Research Centre	Netherlands	10	312	492	175	198	170	184	215	420	46.65
259	Virginia Commonwealth University	USA	99	378+	437	150	269	237	240	212	187	46.60
260	Virginia Polytechnic Institute and State University	USA	100	298	137	235+	211	241	436	290	151	46.57
261	University of Oklahoma	USA	101	378+	163	235+	246	248	240	249	261	46.57
262	University of Waterloo	Canada	12	378+	114	235+	188	350	295	280	659	46.55
263	University of Sussex	United Kingdom	23	160	232	60	367	268	144	320	471	46.53
264	Drexel University	USA	102	378+	202	235+	371	339	324	290	83	46.52
265	University of Cape Town	South Africa	2	117	154	147	313	252	324	259	332	46.51
266	Charles University in Prague	Czech Republic	1	251	584	187	230	235	171	222	644	46.49
267	University of Aberdeen	United Kingdom	24	372	308	171	274	213	295	215	321	46.47
268	University of Kentucky	USA	103	345	291	235+	201	233	380	243	273	46.46
269	University of Reading	United Kingdom	25	266	58	235+	380	351	295	365	611	46.46
270	Norwegian University of Science and Technology	Norway	2	277	164	79	281	360	268	290	295	46.45
271	University of Ulm	Germany	22	378+	447	133	290	211	380	204	507	46.43
272	University at Buffalo	USA	104	245	395	235+	212	280	240	263	167	46.42
273	University of Bergen	Norway	3	378+	594+	235+	232	201	218	222	502	46.41
274	University of Tsukuba	Japan	11	211	594+	108	245	261	240	253	220	46.40
275	University of Lisbon	Portugal	1	351	425	222	167	324	200	259	625	46.39
276	University of Duisburg-Essen	Germany	23	378+	484	235+	283	257	268	208	342	46.39
277	Thomas Jefferson University	USA	105	166	594+	235+	351	337	184	215	303	46.35
278	University of Valencia	Spain	4	378+	500	235+	219	366	240	233	471	46.35
279	Okayama University	Japan	12	378+	286	235+	365	330	324	328	76	46.33
280	University of Warwick	United Kingdom	26	217	302	126	200	231	171	296	251	46.33
281	Northeastern University	USA	106	330	117	235+	360	281	218	352	96	46.33
282	Colorado State University	USA	107	236	526	194	236	212	295	243	267	46.32
283	Lehigh University	USA	108	250	46	235+	647	527	436	536	440	46.28
284	University of Louisville	USA	109	378+	465	235+	359	396	295	276	102	46.28
285	University of Pisa	Italy	8	286	461	235+	235	346	200	243	547	46.26
286	Vrije Universiteit Brussel	Belgium	5	121	594+	235+	309	276	200	249	338	46.25
287	Queen's University	Canada	13	336	166	117	270	286	268	290	291	46.25
288	Tulane University	USA	110	338	152	235+	382	300	268	268	290	46.24
289	Rensselaer Polytechnic Institute	USA	111	103	150	235+	434	357	184	313	185	46.24
290	University of South Carolina	USA	112	378+	321	196	261	364	144	276	326	46.22
291	University of Genoa	Italy	9	378+	594+	235+	292	338	171	238	584	46.21
292	University of Delaware	USA	113	333	355	136	285	308	218	296	132	46.21
293	Hannover Medical School	Germany	24	378+	594+	235+	321	230	380	222	374	46.21
294	City College of New York	USA	114	30	215	235+	696	442	541	617	363	46.18
295	Ruhr University Bochum	Germany	25	378+	234	235+	243	262	380	268	745	46.16
296	Autonomous University of Madrid	Spain	5	378+	443	235+	231	253	240	263	391	46.16
297	National and Kapodistrian University of Athens	Greece	1	378+	204	235+	242	412	324	276	912+	46.16
298	Leipzig University	Germany	26	340	594+	226	282	254	324	243	401	46.13
299	Umeå University	Sweden	7	378+	594+	185	273	197	218	257	912+	46.12
300	Medical University of South Carolina	USA	115	378+	594+	235+	324	347	240	243	356	46.10
301	Dalhousie University	Canada	14	269	168	235+	288	246	324	286	440	46.09
302	London School of Economics	United Kingdom	27	84	81	92	502	749	218	566	912+	46.09
303	University of Bordeaux	France	14	366	594+	235+	317	291	218	253	391	46.07
