UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
146490,2 ,1,"A",,"R",0,"R",1,"A",,"R",0,"A",,"R",0,"A",,"R",1,"R",1,"A",,"R",478,"R",478,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
146506,1 ,2,"R",20449,"R",106250,"R",50,"R",2417,"R",7900,"R",20,"R",44500,"R",22886,"R",158700,"R",181586,"R",10315,"R",760,"R",11075,1,"R",5205,"R",1869,"R",0,"R",260174,1,"R",62459,"R",51785,"R",123793,"R",4039,"R",179617,"R",0,"R",12799,"R",12799,"R",515049,452590
146533,2 ,2,"R",1878,"R",928,"R",23,"R",120,"R",4107,"R",13,"R",68,"R",2011,"R",5126,"R",7137,"R",813,"R",685,"R",1498,1,"R",652,"R",31,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
146603,1 ,2,"R",41561,"R",2361,"R",54,"R",2639,"R",0,"R",12,"R",0,"R",44212,"R",2415,"R",46627,"R",2414,"R",450,"R",2864,1,"R",826,"R",527,"R",0,"R",218228,1,"R",52215,"R",14600,"R",21240,"R",0,"R",35840,"R",0,"R",6545,"R",6545,"R",312828,260613
146612,1 ,2,"R",91369,"R",267351,"R",76,"R",1109,"R",18205,"R",1143,"R",117860,"R",93621,"R",403492,"R",497113,"R",2291,"R",13501,"R",15792,1,"R",1363,"R",2105,"R",0,"R",674342,2,"Z",0,"R",0,"R",515885,"R",0,"R",515885,"R",0,"R",0,"R",0,"R",1190227,1190227
146667,1 ,2,"R",100227,"R",55781,"R",55,"R",7846,"R",2542,"R",706,"R",380,"R",108779,"R",58758,"R",167537,"R",16063,"R",2809,"R",18872,1,"R",2439,"R",1659,"R",0,"R",185854,1,"R",32648,"R",7104,"R",48154,"R",62,"R",55320,"R",292,"R",20000,"R",20292,"R",294114,261466
146676,1 ,2,"R",29644,"R",432308,"R",38,"R",172,"R",13613,"R",152,"R",145385,"R",29968,"R",591344,"R",621312,"R",425,"R",947,"R",1372,1,"R",118,"R",459,"R",0,"R",142463,1,"R",29655,"R",13815,"R",38852,"R",340,"R",53007,"R",303,"R",20341,"R",20644,"R",245769,216114
146685,1 ,2,"R",61068,"R",119477,"R",115,"R",1900,"R",5330,"R",653,"R",172,"R",63621,"R",125094,"R",188715,"R",10289,"R",13201,"R",23490,1,"R",2737,"R",1174,"R",0,"R",701981,1,"R",103387,"R",107622,"R",113618,"R",9000,"R",230240,"R",1500,"R",44806,"R",46306,"R",1081914,978527
146700,2 ,2,"R",1545,"R",181865,"R",11,"R",18,"R",68010,"R",63,"R",3,"R",1626,"R",249889,"R",251515,"R",300,"R",40,"R",340,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
146719,1 ,2,"R",916582,"R",810385,"R",553,"R",11560,"R",31320,"R",2078,"R",97083,"R",930220,"R",939341,"R",1869561,"R",40771,"R",68657,"R",109428,1,"R",9199,"R",14267,"R",6,"R",3988757,1,"R",1095310,"R",1104549,"R",5043808,"R",310811,"R",6459168,"R",58815,"R",353843,"R",412658,"R",11955893,10860583
146728,1 ,2,"R",289943,"R",64789,"R",22,"R",119078,"R",0,"R",287,"R",87,"R",409308,"R",64898,"R",474206,"R",9441,"R",47636,"R",57077,1,"R",1140,"R",83,"R",0,"R",390784,1,"R",99665,"R",27110,"R",39909,"R",41740,"R",108759,"R",0,"R",60170,"R",60170,"R",659378,559713
146755,1 ,2,"R",200,"R",2800,"R",6,"R",0,"R",50,"R",0,"R",6000,"R",200,"R",8856,"R",9056,"R",105,"R",130,"R",235,1,"R",160,"R",181,"R",1,"R",49000,1,"R",7500,"R",0,"R",250000,"R",0,"R",250000,"R",0,"R",250,"R",250,"R",306750,299250
146816,2 ,2,"R",2500,"R",1000,"R",2,"R",0,"R",1,"R",0,"R",0,"R",2500,"R",1003,"R",3503,"R",160,"R",920,"R",1080,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
